Response,Error,original_title,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,totalSeasons
True,,"Alexandria, Again and Forever",Alexandria: Again and Forever,1989,Not Rated,20 Jun 1990,100 min,Drama,Youssef Chahine,"Youssef Chahine, Yousry Nasrallah","Youssra, Youssef Chahine, Hussein Fahmy","During a hunger strike by the Egyptian film industry, Yehia, a famous Egyptian director, finds himself obsessed with Amir, the leading man in one of his movies, and Nadia, a woman he desires to work with.",Arabic,"France, Egypt",1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMWYxNzdlOGYtOTliMC00Mzc1LWE4MjMtYjkxZjlhOWY3ZWQ1XkEyXkFqcGdeQXVyMjI4NzAzNjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,6.5,811,tt0099858,movie,N/A,N/A,N/A,N/A,
False,Movie not found!,The Little Wars,,,,,,,,,,,,,,,,,,,,,,,,,
True,,Mission: Impossible,Mission: Impossible - Ghost Protocol,2011,PG-13,21 Dec 2011,132 min,"Action, Adventure, Thriller",Brad Bird,"Bruce Geller, Josh Appelbaum, André Nemec","Tom Cruise, Jeremy Renner, Simon Pegg","The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.","English, Russian, French, Arabic, Swedish","United States, United Arab Emirates, Russia, Canada, Czech Republic, India",5 wins & 30 nominations total,https://m.media-amazon.com/images/M/MV5BMTY4MTUxMjQ5OV5BMl5BanBnXkFtZTcwNTUyMzg5Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,7.4,"555,260",tt1229238,movie,N/A,"$209,397,903",N/A,N/A,
True,,InuYasha,Inuyasha,2000–2004,TV-14,31 Aug 2002,24 min,"Animation, Action, Adventure",N/A,Rumiko Takahashi,"Kappei Yamaguchi, Richard Ian Cox, Sarah Hauser",A teenage girl periodically travels back in time to feudal Japan to help a young half-demon recover the shards of a jewel of great power.,Japanese,Japan,2 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BZjQxYThmNGEtNzU2ZS00NjZmLWEzNTItMWM2NmU0ZTc5NjY3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,"19,166",tt0290223,series,,,,,7
False,Movie not found!,My First Errand,,,,,,,,,,,,,,,,,,,,,,,,,
True,,Jerry Seinfeld: I'm Telling You for the Last Time,Jerry Seinfeld: 'I'm Telling You for the Last Time',1998,TV-14,09 Aug 1998,75 min,Comedy,Marty Callner,Jerry Seinfeld,"Jerry Seinfeld, Michael Barryte, Grace Bustos","Live from New York City, Jerry Seinfeld, aided and abetted by a host of friends and fellow comedians, performs his 1998 Emmy-nominated performance on Broadway.",English,United States,Nominated for 2 Primetime Emmys. 4 nominations total,https://m.media-amazon.com/images/M/MV5BNDM4OTY0NTAyMF5BMl5BanBnXkFtZTcwNTcxMDQyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,"6,303",tt0500140,movie,N/A,N/A,N/A,N/A,
True,,Mann,Jaan-E-Mann: Let's Fall in Love... Again,2006,Not Rated,20 Oct 2006,165 min,"Comedy, Drama, Musical",Shirish Kunder,Shirish Kunder,"Salman Khan, Akshay Kumar, Preity G Zinta","Follows a love triangle between Agastya, Suhaan and Piya.","Hindi, English",India,2 nominations,https://m.media-amazon.com/images/M/MV5BZjVhMzNhZTEtMDRhMS00OTUyLTk1NDktYzUwN2U3ZWU0OGNhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40,6.1,"9,309",tt0456481,movie,N/A,"$650,000",N/A,N/A,
True,,Sam Kinison: Family Entertainment Hour,The Sam Kinison Family Entertainment Hour,1991,Not Rated,13 Jul 1991,50 min,"Documentary, Comedy, Music",Walter C. Miller,Sam Kinison,"Sam Kinison, Arthur Eckdahl, Randy Hansen","Catch Sam Kinison in his last recorded special. Filmed live at the Wiltern Theatre, Sam's not only provides the screaming comedy you've come to love him for, but he bookends this special with rock performances!",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTg5ODE3NDA2NV5BMl5BanBnXkFtZTcwMjUxNTEyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,318,tt0249934,movie,N/A,N/A,N/A,N/A,
True,,Hum Saath Saath Hain,Hum Saath-Saath Hain,1999,Not Rated,05 Nov 1999,177 min,"Drama, Musical",Sooraj R. Barjatya,Sooraj R. Barjatya,"Mohnish Behl, Salman Khan, Saif Ali Khan","Ramkishen and Mamta have three sons Vivek , Prem and Vinod and a daughter Sangeeta. This family is part of a joint family whose close knit bond is challenged by a misunderstanding.",Hindi,India,1 win & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMTc2NDQ5OTIzNl5BMl5BanBnXkFtZTgwMTI5ODUzNzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,"10,224",tt0216817,movie,N/A,"$2,005,094",N/A,N/A,
False,Movie not found!,Monty Python: Live at Aspen,,,,,,,,,,,,,,,,,,,,,,,,,
False,Movie not found!,Minsara Kanavu,,,,,,,,,,,,,,,,,,,,,,,,,
True,,Tim Allen: Rewires America,Tim Allen Rewires America,1991,Not Rated,07 Dec 1991,30 min,"Documentary, Comedy",Ellen Brown,Tim Allen,Tim Allen,"In his second Showtime stand-up comedy special taped at The Power Center for the Performing Arts in Ann Arbor, Michigan, Tim Allen proudly grunts his way through a discussion of ""men stuff.""",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BYzJhOTc0OWQtYWUzMC00ZjBiLTg1MTctZTc4ZDdhNjllYTJmXkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,219,tt0294967,movie,N/A,N/A,N/A,N/A,
False,Movie not found!,Bill Hicks: One Night Stand,,,,,,,,,,,,,,,,,,,,,,,,,
False,Movie not found!,Sinbad: Nothin' but the Funk,,,,,,,,,,,,,,,,,,,,,,,,,
True,,Before the Flying Circus,Monty Python: Before the Flying Circus,2008,Not Rated,N/A,55 min,Documentary,Will Yapp,N/A,"Robert Bathurst, Eric Idle, John Cleese","The pre-Monty Python years of the six members of the group. Covers their school and university days, their first individual forays into comedy, how the parts slowly came together and Monty Python's eventual formation.",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BMDM5MjA3YzEtOTE0ZS00NzVlLWE5NWEtZjdlMGUzNTg0NDVjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,218,tt9230920,movie,N/A,N/A,N/A,N/A,
False,Movie not found!,Have You Ever Seen Fireflies? - Theatre Play,,,,,,,,,,,,,,,,,,,,,,,,,
True,,DEATH NOTE,Death Note,2006–2007,TV-14,21 Oct 2007,24 min,"Animation, Crime, Drama",N/A,N/A,"Mamoru Miyano, Brad Swaile, Vincent Tong",An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,"Japanese, English",Japan,2 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BYTgyZDhmMTEtZDFhNi00MTc4LTg3NjUtYWJlNGE5Mzk2NzMxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.9/10'}]",N/A,8.9,"440,716",tt0877057,series,,,,,1
True,,Blade Runner: The Final Cut,Blade Runner: The Final Cut (2007),2007,N/A,17 Sep 2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BM2M0NjUwNzktZWFiMy00NjMyLWE4MGQtMWRhZjY2MjQ4OTA2XkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt24742930,movie,N/A,N/A,N/A,N/A,
False,Movie not found!,Apocalypse Now Redux,,,,,,,,,,,,,,,,,,,,,,,,,
True,,Transformers: Prime,Transformers Prime,2010–2013,TV-Y7,26 Nov 2010,1 min,"Animation, Action, Adventure",N/A,"Duane Capizzi, Jeff Kline, Alex Kurtzman","Peter Cullen, Sumalee Montano, Jeffrey Combs",In this new set of adventures the Autobots live on Earth and maintain their secret identity. They are joined by 3 teens as they battle the Decepticons.,English,United States,14 wins & 26 nominations total,https://m.media-amazon.com/images/M/MV5BMjRiODgwNmYtZjk3Ny00YTFiLTgxM2MtNmVjMWEwZTNjYjkyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,"9,765",tt1659175,series,,,,,3
True,,Code Geass: Lelouch of the Rebellion,Code Geass: Lelouch of the Rebellion I - Initiation,2017,N/A,21 Oct 2017,135 min,"Animation, Action, Sci-Fi","Noriaki Akitaya, Gorô Taniguchi","Gorô Taniguchi, Clamp, Ichirô Ôkouchi","Jun Fukuyama, Takahiro Sakurai, Yukana",A remake of first 17 episodes of code geass R1.,Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BNjEyMzA0NDctNTQwMy00NDQ0LWExYjctOWYzMDcyYWYyMzFiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,789,tt8100900,movie,N/A,N/A,N/A,N/A,
False,Movie not found!,Miss Congeniality 2: Armed and Fabulous,,,,,,,,,,,,,,,,,,,,,,,,,
True,,Octonauts,The Octonauts,2010–2021,TV-Y,04 Oct 2010,11 min,"Animation, Adventure, Comedy",N/A,N/A,"Ross Breen, Keith Wickham, Simon Greenall","An intrepid band of explorers roam the oceans in search of adventure and fun. Led by a valiant polar bear and a daredevil kitten, these eight talented critters are always ready to embark on an exciting new mission.",English,"United States, Ireland, United Kingdom, Canada",2 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BMTMwYWM1OTQtNzcxNi00MGIwLWI0ZWUtMmJmZWI5ZjU1OTFkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,"1,694",tt1710177,series,,,,,4
True,,Total Drama Island,Total Drama Island: Reboot,2023–2024,TV-PG,20 Oct 2023,N/A,"Animation, Action, Adventure",N/A,"Tom McGillis, Jennifer Pertsch","Terry McGurrin, Deven Christian Mack, Eman Ayaz",The most funny and dangerous reality cartoon show Total Drama is back with even more dangerous challenges.,English,Canada,3 nominations total,https://m.media-amazon.com/images/M/MV5BYzBlZWRlMDUtOTU2OS00NTNhLTk1ZjUtODNhMDM1Nzg5MGRiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,675,tt29116817,series,,,,,1
False,Movie not found!,No Direction Home: Bob Dylan,,,,,,,,,,,,,,,,,,,,,,,,,
True,,Life As We Know It,Life as We Know It,2010,PG-13,08 Oct 2010,114 min,"Comedy, Drama, Romance",Greg Berlanti,"Ian Deitchman, Kristin Rusk Robinson","Katherine Heigl, Josh Duhamel, Josh Lucas",Two single adults become caregivers to an orphaned girl when their mutual best friends die in an accident.,English,United States,2 nominations total,https://m.media-amazon.com/images/M/MV5BMTc1OTQzNzE0Nl5BMl5BanBnXkFtZTcwNDU4NDk3Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39,6.5,"142,715",tt1055292,movie,N/A,"$53,374,681",N/A,N/A,
False,Movie not found!,Dreamer: Inspired By a True Story,,,,,,,,,,,,,,,,,,,,,,,,,
True,,Monty Python: Almost the Truth (The Lawyer's Cut),Monty Python: Almost the Truth - The Lawyer's Cut,2009,TV-G,18 Oct 2009,54 min,"Documentary, Biography",N/A,N/A,"Eric Idle, John Cleese, Michael Palin",A documentary on the history on British comedy group Monty Python. Features interviews with the five surviving members plus other comedians and artists whose careers they have influenced.,English,United Kingdom,Nominated for 2 Primetime Emmys. 2 nominations total,https://m.media-amazon.com/images/M/MV5BNmNlMDUwMGMtMTllOS00MmVjLTg2YTEtYmM5NjFkOWI4NzU1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,"1,938",tt1422182,series,,,,,1
True,,Den-noh Coil,Den-Noh Coil,2007,TV-14,12 May 2007,N/A,"Animation, Adventure, Comedy",N/A,Mitsuo Iso,"Hilary Haag, Monica Rial, Tiffany Grant","Eleven years after the introduction of internet-connected, augmented reality eyeglasses and visors, Yuuko Okonogi moves with her family to Daikoku City, the technological center of the emerging half-virtual world.",Japanese,Japan,1 win total,https://m.media-amazon.com/images/M/MV5BY2FkYjFlMDgtZWZkYi00ZGM5LThiZGEtNzhmMWJjN2I1YThmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,"1,079",tt1033796,series,,,,,1
True,,Naruto Shippuden the Movie,Naruto Shippuden the Movie: Blood Prison,2011,TV-14,18 Feb 2014,108 min,"Animation, Action, Mystery",Masahiko Murata,"Akira Higashiyama, Masashi Kishimoto","Junko Takeuchi, Chie Nakamura, Rikiya Koyama",Naruto Uzumaki is framed and sent to an inescapable prison where he must escape by any means necessary.,Japanese,Japan,1 nomination total,https://m.media-amazon.com/images/M/MV5BZTgwZDkyODktYjk0My00NTVhLWIxMmQtMGY4ODYzMTlhYmE5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"6,406",tt1999167,movie,N/A,N/A,N/A,N/A,
False,Movie not found!,The Legend of the Nahuala,,,,,,,,,,,,,,,,,,,,,,,,,
False,Movie not found!,Zig and Sharko,,,,,,,,,,,,,,,,,,,,,,,,,
True,,Bo on the Go!,Bo on the GO!,2007–,TV-Y,03 Sep 2007,22 min,"Animation, Family, Fantasy",N/A,"Michael Donovan, Jeff Rosen, Cheryl Wagner","Andrew Sabiston, Catherine O'Connor, Jim Fowler",A girl named Bo and Deezy the dragon encourage viewers to move with them to help them overcome obstacles in their adventures.,English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BZjJjOTM0MzItY2VkNi00MmM0LTllZWMtNDg2OTU5MDk3ZmE2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}]",N/A,4.5,172,tt1516172,series,,,,,3
True,,Kabhi Khushi Kabhie Gham,Kabhi Khushi Kabhie Gham...,2001,Not Rated,14 Dec 2001,210 min,"Drama, Musical, Romance",Karan Johar,"Karan Johar, Sheena Parikh","Shah Rukh Khan, Kajol, Amitabh Bachchan","After marrying a poor woman, rich Rahul is disowned by his father and moves to London to build a new life. Years later, his now-grown younger brother Rohan embarks on a mission to bring Rahul back home and reunite the family.","Hindi, English, Punjabi, Urdu","India, United Kingdom",27 wins & 47 nominations,https://m.media-amazon.com/images/M/MV5BN2MyZGVhNmMtY2JkNy00ZmIzLTkwOGItY2NiM2MyOGMxODkzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.4,"58,366",tt0248126,movie,N/A,"$2,902,000",N/A,N/A,
True,,Kung Fu Panda Awesome Secrets,Dreamworks Kung Fu Panda Awesome Secrets,2008,TV-PG,N/A,30 min,"Animation, Action, Comedy",N/A,N/A,N/A,"In this pair of adventures, Po tells the story of how masters Thundering Rhino, Storming Ox and Croc met and takes on Shifu's biggest challenge yet.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNWMxZjI1ZGEtMWE3Zi00NjNmLTg4OWYtZWE1MzU2NmNhZTdmXkEyXkFqcGdeQXVyNDY5MTUyNjU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,148,tt6963796,series,,,,,1
False,Movie not found!,"Cairo 6,7,8",,,,,,,,,,,,,,,,,,,,,,,,,
True,,El Escamoso,Pedro el escamoso,2001–,TV-14,24 Aug 2001,60 min,Drama,N/A,Claudia Sánchez Morales,"Wilson Rangel, Miguel Varoni, Javier Gómez","A colombian macho guy with feelings, a heart-breaker, an unintentional womanizer and a avid dancer.",Spanish,Colombia,N/A,https://m.media-amazon.com/images/M/MV5BMjE4NzAwODM3MV5BMl5BanBnXkFtZTcwMDM5MzkyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,447,tt0283770,series,,,,,1
True,,Tayo the Little Bus,"Tayo, the Little Bus",2010–,TV-G,23 Aug 2010,N/A,"Animation, Comedy, Family",N/A,N/A,"Patricia Kalis, Jul Kohler, Aramis Merlin",Little Tayo is the most high-spirited bus around. He travels the city every day and often runs into interesting encounters on the road.,"Indonesian, Japanese, Korean, English","South Korea, Canada",N/A,https://m.media-amazon.com/images/M/MV5BZTc3NDFmZWUtN2VhOC00MzA0LWFmM2EtNjZjMTVkMmRkODY2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,252,tt3270208,series,,,,,6
False,Movie not found!,Bleach the Movie: Fade to Black,,,,,,,,,,,,,,,,,,,,,,,,,
False,Movie not found!,Naruto Shippuden the Movie: The Lost Tower,,,,,,,,,,,,,,,,,,,,,,,,,
True,,Naruto Shippuden the Movie: Bonds,Naruto Shippuden: The Movie - Bonds,2008,TV-14,25 Oct 2011,98 min,"Animation, Action, Fantasy",Hajime Kamegaki,"Masashi Kishimoto, Junki Takegami, Masahiro Hikokubo","Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama","Sky ninja attack Konoha seeking revenge, as Konoha nearly destroyed their Sky Country in the last Shinobi World War, though they survived.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BNTE2ODAyNTkxNl5BMl5BanBnXkFtZTgwNTAzMjA2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,"5,911",tt1160524,movie,N/A,N/A,N/A,N/A,
False,Movie not found!,Naruto Shippuden the Movie: The Will of Fire,,,,,,,,,,,,,,,,,,,,,,,,,
True,,DreamWorks Spooky Stories,Dreamworks Spooky Stories,2012,TV-PG,26 Oct 2012,84 min,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",N/A,N/A,Gavin Magnus,"In these spooktacular stories, your favorite DreamWorks characters from the blockbuster hits Shrek and Monsters vs. Aliens return in these chilling tales for the whole family.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTY3MjgyOTc4MV5BMl5BanBnXkFtZTgwMDEyNDAxMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,465,tt3608838,movie,N/A,N/A,Fox,N/A,
False,Movie not found!,Sivaji: The Boss,,,,,,,,,,,,,,,,,,,,,,,,,
True,,Inuyasha the Movie 2: The Castle Beyond the Looking Glass,InuYasha the Movie 2: The Castle Beyond the Looking Glass,2002,Not Rated,28 Dec 2004,99 min,"Animation, Action, Comedy",Toshiya Shinohara,"Rumiko Takahashi, Katsuyuki Sumizawa","Kappei Yamaguchi, Satsuki Yukino, Kôji Tsujitani","After seemingly defeating their common enemy, Naraku, what appears to be the near-end of their journey instead leads Inuyasha and Kagome facing against a new threat.","Japanese, English",Japan,N/A,https://m.media-amazon.com/images/M/MV5BMWM0MjhkMWMtMzhmYS00NmI3LWI2NWQtNjVlMjVhNTVjZjc4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,"2,402",tt0366621,movie,N/A,N/A,N/A,N/A,
False,Movie not found!,Naruto: Ninja Clash in the Land of Snow,,,,,,,,,,,,,,,,,,,,,,,,,
True,,Taxi No. 9 2 11,Taxi No. 9 2 11: Nau Do Gyarah,2006,Not Rated,24 Feb 2006,116 min,"Comedy, Drama, Thriller",Milan Luthria,Rajat Arora,"John Abraham, Nana Patekar, Sonali Kulkarni",A cabbie (Patekar) and businessman (Abraham) both in need of big money partake in a two-hour adventure together.,Hindi,"India, United States, Canada",1 win & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMTlkYjIxNGUtZjk1ZC00MmU1LWEzMDUtMWNhNDBkNDI5NDRkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,"11,149",tt0476884,movie,N/A,"$292,794",N/A,N/A,
False,Movie not found!,"One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom",,,,,,,,,,,,,,,,,,,,,,,,,
False,Movie not found!,Naruto: Guardians of the Crescent Moon Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,
True,,Nuevo Rico Nuevo Pobre,"Nuevo rico, nuevo pobre",2007–,TV-MA,06 Jun 2021,N/A,Comedy,N/A,Claudia Sánchez Morales,"Martín Karpan, Carolina Acevedo, Jhon Álex Toro","Brayan and Andrés lives turn upside down when a nurse about to die decides to confess to Antonia, a woman from high society, that when she assisted her in the birth of her son she made a very small mistake: she exchanged her baby.",N/A,Colombia,N/A,https://m.media-amazon.com/images/M/MV5BY2JiZDExNDAtNTU3My00OTk0LWE5N2MtYWJkODY1YmJlMTcyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,292,tt1233451,series,,,,,1
True,,"LSD: Love, Sex aur Dhokha","LSD: Love, Sex Aur Dhokha",2010,Not Rated,19 Mar 2010,155 min,"Comedy, Crime, Drama",Dibakar Banerjee,"Dibakar Banerjee, Kanu Behl","Nushrratt Bharuccha, Anshuman Jha, Neha Chauhan","A video camcorder, a store security camera, and concealed cameras candidly expose lives in three loosely-linked tales.","Hindi, Punjabi, English",India,7 wins & 10 nominations,https://m.media-amazon.com/images/M/MV5BZmEyMjMyNWYtMmRkOC00NzE3LWE3ZDgtZjNmMjk3YmJjNDAyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"6,310",tt1608777,movie,N/A,N/A,N/A,N/A,
False,Movie not found!,One Piece: The Desert Princess and the Pirates: Adventure in Alabasta,,,,,,,,,,,,,,,,,,,,,,,,,
False,Movie not found!,Trailer Park Boys: Say Goodnight to the Bad Guys,,,,,,,,,,,,,,,,,,,,,,,,,
False,Movie not found!,Naruto: Legend of the Stone of Gelel,,,,,,,,,,,,,,,,,,,,,,,,,
