,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,original_title
10,The Professionals,1966,PG-13,04 Nov 1966,117 min,"Action, Adventure, Drama",Richard Brooks,"Frank O'Rourke, Richard Brooks","Burt Lancaster, Lee Marvin, Robert Ryan",An arrogant Texas millionaire hires four adventurers to rescue his kidnapped wife from a notorious Mexican bandit.,"English, Spanish",United States,Nominated for 3 Oscars. 3 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BYzJmYzk3NmMtZGQ3My00OGE2LTgzMGYtN2VkOTU5ZTZhMjlmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75.0,7.3,"20,075",tt0060862,movie,,"$19,537,346",,,True,,The Professionals
11,Richard Pryor: Live in Concert,1979,Not Rated,26 Jan 1979,78 min,"Documentary, Comedy",Jeff Margolis,"Paul Mooney, Richard Pryor","Richard Pryor, Patti LaBelle, Huey P. Newton","Richard Pryor's classic 1979 concert film has him discussing a wide range of topics, including race, the police and his favorite target -- himself.",English,United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BYjk4NDYzZTMtZjMxZC00NGZiLThhZDctZjBhZmE0NDhmOTNiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",,8.0,"5,938",tt0079807,movie,,,,,True,,Richard Pryor: Live in Concert
12,White Christmas,1954,Approved,05 Nov 1954,120 min,"Comedy, Musical, Romance",Michael Curtiz,"Norman Krasna, Norman Panama, Melvin Frank","Bing Crosby, Danny Kaye, Rosemary Clooney",A successful song-and-dance team become romantically involved with a sister act and team up to save the failing Vermont inn of their former commanding general.,English,United States,Nominated for 1 Oscar. 1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BYzZlOTBmZDgtMWIwMS00YTNlLTllNWYtZTk1MmY0ZWU3MzQzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56.0,7.6,"55,352",tt0047673,movie,,"$2,800,094",,,True,,White Christmas
13,Cairo Station,1958,Not Rated,20 Jan 1958,77 min,"Crime, Drama",Youssef Chahine,"Abdel Hai Adib, Mohamed Abu Youssef","Farid Shawqi, Hind Rustum, Youssef Chahine",A newspaper salesman at the train station in Cairo develops an unhealthy obsession with a woman who sells refreshments.,Arabic,Egypt,1 nomination,https://m.media-amazon.com/images/M/MV5BYTRjN2JiMGUtMGM4YS00OWIxLWE5YTItNTkxYWNlN2ExY2UyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",,7.5,"5,565",tt0051390,movie,,,,,True,,Cairo Station
14,Hitler: A Career,1977,Not Rated,08 Jul 1977,150 min,"Documentary, History","Joachim Fest, Christian Herrendoerfer",Joachim Fest,"Gert Westphal, Stephen Murray, Artur Axmann","This meticulously assembled film dissects the Third Reich with an analytical blade, charting Hitler's improbable rise, his mastery of crowd psychology and his consummate skill in exploiting others' weaknesses.",German,West Germany,,https://m.media-amazon.com/images/M/MV5BNjIxMmZkOTQtMWEzNC00OGZmLWJiOTUtMGVkNjkzNzA3Mjg5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",,7.5,"3,191",tt0191182,movie,,,,,True,,Hitler: A Career
15,FTA,1972,R,22 Nov 1972,103 min,"Documentary, Comedy, Music",Francine Parker,"Michael Alaimo, Len Chandler, Pamela Donegan","Jane Fonda, Donald Sutherland, Pamela Donegan","Available for the first time since it mysteriously disappeared in 1972 after only one week in theaters, this raucous film is a riveting slice of the Vietnam anti-war movement.",English,United States,,https://m.media-amazon.com/images/M/MV5BODNmNmMwMDYtYmE0Mi00MGFkLTliMDgtNjk0YTFjNTc4NzA3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75.0,6.4,498,tt0068562,movie,,,,,True,,FTA
16,The Land,1970,,26 Jan 1970,130 min,Drama,Youssef Chahine,"Abderrahman Charkawi, Hassan Fuad","Mahmoud Al Meleji, Nagwa Ibrahim, Ezzat El Alaili",A small peasant village's struggles against the careless inroads of the large local landowner. The Land shows why political oppression does not necessarily lead to a sense of solidarity among the disinherited.,Arabic,Egypt,1 nomination,https://m.media-amazon.com/images/M/MV5BNzIyNzc0YzEtMDQ0MC00NmQ1LTgwNzctNTY0YzA5MWM0N2NiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",,8.0,"2,572",tt0064038,movie,,,Arab Film Distribution,,True,,The Land
17,Dostana,2008,Not Rated,14 Nov 2008,145 min,"Comedy, Drama, Romance","Tarun Mansukhani, Punit Malhotra","Anvita Dutt, Tarun Mansukhani","Abhishek Bachchan, John Abraham, Priyanka Chopra Jonas","Two straight guys pretend to be gay in order to secure a Miami apartment. When both of them fall for their roommate Neha, hilarity ensues as they strive to convince one and all that they're gay whilst secretly trying to win her he...","Hindi, English","India, United States",5 wins & 22 nominations total,https://m.media-amazon.com/images/M/MV5BMDhhYjUyNGEtMmY2My00ZDE2LWIyNjMtMTNkNzVmZGFmMmE0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}]",,6.4,"16,563",tt1185420,movie,,"$1,243,910",,,True,,Dostana
18,Alibaba Aur 40 Chor,2004,,10 Dec 2004,,"Action, Adventure, Drama",Sunil Agnihotri,"Farooq Barelvi, Farukh Barelvi","Azghar, Divya Dwivedi, Anwar Fatehan","Sonapur is a small village in modern day India that is being terrorized by a bandit named Zakali and his gang of 40 thieves. The villagers, young and old, even the Police, are all terrified. When a new Forest Officer is appointed,...",Hindi,India,,https://m.media-amazon.com/images/M/MV5BNzlkYjBhZGEtZTBmYi00M2M4LWI0YmYtYjk2NGMwNzQwMTc3XkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}]",,4.5,41,tt1238718,movie,,,,,True,,Alibaba Aur 40 Chor
19,The Blazing Sun,1954,TV-14,01 Mar 1954,105 min,"Crime, Drama, Romance",Youssef Chahine,"Ali El Zorkani, Hilmi Halim","Faten Hamamah, Omar Sharif, Zaki Rostom","A rich landlord floods and destroys a village on purpose to prevent the people living there from making a profit off their crops. What he doesn't know is that his own daughter is in love with Ahmed, a young man from the village.",Arabic,Egypt,1 nomination,https://m.media-amazon.com/images/M/MV5BNzdmZmVjNDgtNmVkMy00ZWRkLTgzNWItY2NlN2IxMmEwNDEzXkEyXkFqcGdeQXVyMjI4NzAzNjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",,7.2,"1,546",tt0044429,movie,,,,,True,,The Blazing Sun
20,Dark Waters,2019,PG-13,06 Dec 2019,126 min,"Biography, Drama, History",Todd Haynes,"Nathaniel Rich, Mario Correa, Matthew Michael Carnahan","Mark Ruffalo, Anne Hathaway, Tim Robbins",A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.,"English, Korean",United States,10 nominations total,https://m.media-amazon.com/images/M/MV5BNmQzM2M4MTEtZjM3Yy00Njk1LWJmNjQtYzg4YjVmZmZkZDA0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73.0,7.6,"117,555",tt9071322,movie,,"$11,136,084",,,True,,Dark Waters
21,We Are All for the Fatherland,1979,TV-MA,18 Oct 2020,80 min,Documentary,Maroun Bagdadi,,,"After the 1979 Israeli invasion of Lebanon, children try to sing the national anthem as citizens search for hope in the war-torn South.",French,"Lebanon, Canada, France",,https://m.media-amazon.com/images/M/MV5BYmE4YmE3NzItOTJkYS00ZjI5LTk1YTktMWI0NmQzZmE2ZmY3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",,5.4,73,tt0170799,movie,,,,,True,,We Are All for the Fatherland
22,Singapore,1947,Approved,14 Nov 1947,79 min,"Action, Adventure, Crime",John Brahm,"Seton I. Miller, Robert Thoeren","Fred MacMurray, Ava Gardner, Roland Culver","After WW2, an American skipper returns to Singapore to retrieve his hidden stash of pearls and finds his lost fiancée who now has amnesia.","English, Mandarin",United States,,https://m.media-amazon.com/images/M/MV5BODIzOTlmYWMtNWEwOS00Mzg4LTlhNmYtZjQxMjY5OTY3NjYxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",,6.4,853,tt0039829,movie,,,,,True,,Singapore
23,Monty Python's Fliegender Zirkus,1972,TV-MA,06 Oct 1973,87 min,Comedy,,,"Graham Chapman, John Cleese, Eric Idle",A two-part Monty Python German television comedy special.,"English, German","United Kingdom, West Germany",,https://m.media-amazon.com/images/M/MV5BMTQ2NjI4NzU3N15BMl5BanBnXkFtZTcwMzc3OTMyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",,8.0,"2,307",tt0202477,series,,,,,True,1.0,Monty Python's Fliegender Zirkus
24,Khoon Khoon,1973,,,127 min,"Crime, Mystery, Thriller",Mohammed Hussain,"Umesh, Vrajendra Gaur","Mahendra Sandhu, Danny Denzongpa, Jagdeep",A Bombay cop tries to track down a serial killer who snipes at random victims.,Hindi,India,,https://m.media-amazon.com/images/M/MV5BZjI0MjRkMTMtZWRlMi00ZGZmLTg2MDYtMWZhZjRiMjdjZjFjXkEyXkFqcGdeQXVyMjU3MzYxODk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",,5.2,56,tt0230412,movie,,,,,True,,Khoon Khoon
25,Manoranjan,1974,,11 Jan 1974,158 min,"Comedy, Musical, Romance",Shammi Kapoor,Abrar Alvi,"Shammi Kapoor, Sanjeev Kumar, Zeenat Aman","After getting fired, a police officer connects with a prostitute he met on the job in a red-light district and sets out to keep her off the streets.",Hindi,India,1 nomination,https://m.media-amazon.com/images/M/MV5BYTkwNjhlNmMtZjYzMi00Njc0LTkwNmMtNDMxMTFmOGYxYzJmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",,6.5,288,tt0071811,movie,,,,,True,,Manoranjan
26,Ujala,1959,TV-14,,109 min,"Crime, Drama, Romance",Naresh Saigal,"Qamar Jalalabadi, Naresh Saigal, Manohar Singh Sehrai","Mala Sinha, Shammi Kapoor, Raaj Kumar","An impoverished male turns to crime, kills someone, tries to make a honest living but ends up becoming a suspect for theft.",Hindi,India,,https://m.media-amazon.com/images/M/MV5BZjljOGI4MTAtZjAwNi00MTU5LTk5YTktZDA3ZjU5MDExOWExXkEyXkFqcGdeQXVyMjM5NDM1MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",,6.8,88,tt0157132,movie,,,,,True,,Ujala
27,Whispers,2015,,21 Mar 2017,90 min,"Drama, Horror, Thriller",Tammi Sutton,Tammi Sutton,"Keeley Hazell, Craig Rees, Barbara Nedeljakova",A young couple grieving the recent death of their daughter move to the countryside where they are haunted by their tragedy and a sinister darkness.,English,United Kingdom,3 nominations,https://m.media-amazon.com/images/M/MV5BMTY4NGMxN2QtYTdiMC00MDAzLWIyZGItMjgzNTBkNjVlY2Q1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.0/10'}]",,4.0,"9,072",tt1986202,movie,,,,,True,,Whispers
28,Chadi Jawani Budhe Nu,1976,,01 Jan 1976,,Romance,A. Salaam,"Umesh, S.P. Bakshi","Kimti Anand, Rajendranath Malhotra, Katy Mirza",,Punjabi,India,,,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}]",,4.3,18,tt3290368,movie,,,,,True,,Chadi Jawani Budhe Nu
29,Bandie,1978,,10 Mar 1978,,"Action, Drama, Romance",Alo Sarkar,"Jainendra Jain, Alo Sarkar, Ashok Ghoshal","Uttam Kumar, Sulakshana Pandit, Utpal Dutt","Heirless Maharaj Brajbhan leaves his throne to his cousin Vikram, but when Brajbhan's wife, Badi Rani, finally conceives, Vikram plots to destroy her.",Hindi,India,,https://m.media-amazon.com/images/M/MV5BMzI4YjU0MGYtMGM1Mi00MjdjLWIxMTMtZGQ5ZTYyZGM5MzJiXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",,4.6,41,tt1219315,movie,,,,,True,,Bandie
30,Seinfeld,1989–1998,TV-PG,05 Jul 1989,22 min,Comedy,,"Larry David, Jerry Seinfeld","Jerry Seinfeld, Julia Louis-Dreyfus, Michael Richards",The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,"English, Spanish, Italian",United States,Won 10 Primetime Emmys. 79 wins & 197 nominations total,https://m.media-amazon.com/images/M/MV5BMmRjNjZjN2ItN2FkYi00ZDg0LWExN2EtMTU2ODUwNWU1M2NhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.9/10'}]",,8.9,"372,187",tt0098904,series,,,,,True,9.0,Seinfeld
31,Goodfellas,1990,R,21 Sep 1990,145 min,"Biography, Crime, Drama",Martin Scorsese,"Nicholas Pileggi, Martin Scorsese","Robert De Niro, Ray Liotta, Joe Pesci","The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.","English, Italian, Hebrew, Yiddish",United States,Won 1 Oscar. 44 wins & 38 nominations total,https://m.media-amazon.com/images/M/MV5BN2E5NzI2ZGMtY2VjNi00YTRjLWI1MDUtZGY5OWU1MWJjZjRjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '92/100'}]",92.0,8.7,"1,350,647",tt0099685,movie,,"$46,909,721",,,True,,Goodfellas
32,Full Metal Jacket,1987,R,10 Jul 1987,116 min,"Drama, War",Stanley Kubrick,"Stanley Kubrick, Michael Herr, Gustav Hasford","Matthew Modine, R. Lee Ermey, Vincent D'Onofrio",A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,"English, Vietnamese","United Kingdom, United States",Nominated for 1 Oscar. 8 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BYWUzNzZkNzUtNDdiYy00Nzk5LTgxMmItNTk0MjRjNjdjNDA0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78.0,8.2,"831,129",tt0093058,movie,,"$46,357,676",,,True,,Full Metal Jacket
33,Once Upon a Time in America,1984,R,01 Jun 1984,229 min,"Crime, Drama",Sergio Leone,"Harry Grey, Leonardo Benvenuti, Piero De Bernardi","Robert De Niro, James Woods, Elizabeth McGovern","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.","English, Italian, French, Yiddish, Hebrew","Italy, United States",Won 2 BAFTA 11 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BMDQ0ZTg2OGUtZjMyOC00M2M5LThkMmItZmM2MmUzMmIxMWJhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75.0,8.3,"399,368",tt0087843,movie,,"$5,321,508",,,True,,Once Upon a Time in America
34,When Harry Met Sally...,1989,R,21 Jul 1989,95 min,"Comedy, Drama, Romance",Rob Reiner,Nora Ephron,"Billy Crystal, Meg Ryan, Carrie Fisher","Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.",English,United States,Nominated for 1 Oscar. 6 wins & 19 nominations total,https://m.media-amazon.com/images/M/MV5BMjE0ODEwNjM2NF5BMl5BanBnXkFtZTcwMjU2Mzg3NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76.0,7.7,"259,667",tt0098635,movie,,"$93,117,425",,,True,,When Harry Met Sally...
35,A Nightmare on Elm Street,1984,R,16 Nov 1984,91 min,Horror,Wes Craven,Wes Craven,"Heather Langenkamp, Johnny Depp, Robert Englund","Teenager Nancy Thompson must uncover the dark truth concealed by her parents after she and her friends become targets of the spirit of a serial killer with a bladed glove in their dreams, in which if they die, it kills them in rea...",English,United States,7 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BNTZmN2VlMWMtMTdlMi00NDBhLWIyODMtODEwMzM0ODMwMWYwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76.0,7.4,"280,625",tt0087800,movie,,"$25,624,448",,,True,,A Nightmare on Elm Street
36,Steel Magnolias,1989,PG,22 Nov 1989,117 min,"Comedy, Drama, Romance",Herbert Ross,Robert Harling,"Shirley MacLaine, Olympia Dukakis, Sally Field","A young beautician, newly arrived in a small Louisiana town, finds work at the local salon, where a small group of women share a close bond of friendship, and welcome her into the fold.",English,United States,Nominated for 1 Oscar. 2 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BMjE4MTYyOWYtYjBjNy00NjBiLThhYWEtNzQ2MmE4MzY4ZGI2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56.0,7.3,"66,446",tt0098384,movie,,"$84,614,512",,,True,,Steel Magnolias
